Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
1,84,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.745
1,84,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.764
1,84,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.447
1,84,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.432
1,84,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.503
1,84,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.4
1,84,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.443
1,84,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.454
1,84,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.699
1,84,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.45
1,84,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.482
1,84,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.461
1,84,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.444
1,84,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.422
1,84,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.417
1,84,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.416
1,84,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.422
1,84,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.437
1,84,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.472
1,84,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.585
1,84,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.451
1,84,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.438
1,84,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.417
1,84,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.505
1,84,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,33000000000000000,967000000000000000,0.452
1,84,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,33000000000000000,967000000000000000,0.546
1,84,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,33000000000000000,967000000000000000,0.415
1,84,28,0x40A469977F73155B263A008d1372127afE9FAF55,33000000000000000,967000000000000000,0.439
1,84,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,33000000000000000,967000000000000000,0.507
1,84,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,33000000000000000,967000000000000000,0.517
1,84,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,33000000000000000,967000000000000000,0.472
1,84,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,33000000000000000,967000000000000000,0.485
1,84,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,33000000000000000,967000000000000000,0.45
1,84,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,33000000000000000,967000000000000000,0.42
1,84,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,33000000000000000,967000000000000000,0.407
1,84,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,33000000000000000,967000000000000000,0.551
1,84,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,33000000000000000,967000000000000000,0.443
1,84,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,33000000000000000,967000000000000000,0.705
1,84,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,33000000000000000,967000000000000000,0.447
1,84,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,33000000000000000,967000000000000000,0.739
1,84,41,0xEc276022f61BeC020140D4b84835b83E29669035,33000000000000000,967000000000000000,0.453
1,84,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,33000000000000000,967000000000000000,0.445
1,84,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,0,0,0.411
1,84,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,0,0,0.418
1,84,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,0,0,0.478
1,84,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,0,0,0.412
1,84,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,0,0,0.455
1,84,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,0,0,0.513
1,84,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,0,0,0.415
1,84,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,0,0,0.442
1,84,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.471
1,84,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.458
1,84,53,0xAD4b618eF96f7fcEc93519E18A0D3605445c182a,0,0,0.439
1,84,54,0x514C1035F85E205967A70c681Ee195cBb6289530,0,0,0.695
1,84,55,0x42a7c368AF10Fd3fd3455D1099131B86f39F8007,0,0,0.439
1,84,56,0xDc959dE2516D43aB54419A3E7B1426409cE5fA3e,0,0,0.412
1,84,57,0x64fb88C1194Eb8F4Fdd0dBD5bc7889096F5a077B,0,0,0.452
1,84,58,0xe38aEEf1662320fC13B76b26db44C24bea94B976,0,0,0.459
1,84,59,0xcDe5863464794Fa29eC28aDf16Cda4A7e99F4eac,0,0,0.403
1,84,60,0x71Dd59ef43D2f1456439F83F27c2485e2254625e,0,0,0.454
1,84,61,0xC05B712BD1C6c44Bd3bE816dEaD852D67EB09773,0,0,0.654
1,84,62,0x4e61F88FE32f4FBc004B3A75A44617922fa4E699,0,0,0.474
1,84,63,0xc19C66a62BFff17405b06E0cf2443d13759F2b7b,0,0,0.414
